region,prefecture,commune,canton,etab_nom,categorie,statut_simplifie,lat,lon
Maritime,Golfe,Golfe 1,Bè-Est,SPT Adakpame,Banque,Actif,6.170184999999998,1.2894333333333332
Maritime,Golfe,Golfe 3,Bè-Ouest,UTB Tokoin Tresor,Banque,Actif,6.153320000000002,1.2172633333333331
Maritime,Golfe,Golfe 1,Bè-Est,Banque Atlantique de Lomé Port,Banque,Actif,6.143484596492329,1.275309893948456
Maritime,Golfe,Golfe 3,Bè-Ouest,UTB Adewui,Banque,Actif,6.161748001191442,1.2151359741409398
Maritime,Golfe,Golfe 3,Bè-Ouest,Micro_finance ICEC,Micro-Finance,Actif,6.152418507787813,1.220592547128789
Maritime,Vo,Vo 4,Hahotoé,SPT Hahotoe,Banque,Actif,6.361458333333332,1.4089583333333326
Maritime,Golfe,Golfe 3,Bè-Ouest,COOPEC TRASSTO,Micro-Finance,Actif,6.149371513360616,1.2247502721925536
Maritime,Golfe,Golfe 3,Bè-Ouest,Banque Atlantique Tokoin SOTED,Banque,Actif,6.152278277956703,1.2212965339820714
Maritime,Golfe,Golfe 3,Bè-Ouest,ORABANK Tokoin,Banque,Actif,6.1485001,1.2191920000000005
Maritime,Golfe,Golfe 1,Bè-Est,Microfinance la Rosee de Dieu,Micro-Finance,Actif,6.1719833333333325,1.2709849999999996
Maritime,Golfe,Golfe 1,Bè-Est,MECIT BE-KPOTA,Banque,Inactif,6.158953333333335,1.263561666666666
Maritime,Golfe,Golfe 1,Bè-Est,WAGES Akodessewa,Micro-Finance,Actif,6.153173333333331,1.266705
Maritime,Golfe,Golfe 1,Bè-Est,Mutuelle Nevaeme,Micro-Finance,Actif,6.15032,1.2546416666666669
Maritime,Golfe,Golfe 3,Bè-Ouest,CORIS Bank International,Banque,Actif,6.164337860272213,1.2227248052125623
Maritime,Golfe,Golfe 1,Bè-Est,ECOBANK d'Akodessewa,Banque,Actif,6.15309018801826,1.2657853626122717
